timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1643794490856,11331,Novo,200,OK,Thread Group 1-24,text,true,,384129,252,30,30,https://cityfashion.mk/novo/,21,0,0
1643794490856,21,Novo-0,301,Moved Permanently,Thread Group 1-24,text,true,,358,128,30,30,http://www.cityfashion.mk/novo/,21,0,0
1643794490878,11309,Novo-1,200,OK,Thread Group 1-24,text,true,,383771,124,30,30,https://cityfashion.mk/novo/,11198,0,0
1643794490786,11549,Novo,200,OK,Thread Group 1-14,text,true,,384145,252,30,30,https://cityfashion.mk/novo/,27,0,0
1643794490786,27,Novo-0,301,Moved Permanently,Thread Group 1-14,text,true,,358,128,30,30,http://www.cityfashion.mk/novo/,27,0,0
1643794490813,11522,Novo-1,200,OK,Thread Group 1-14,text,true,,383787,124,30,30,https://cityfashion.mk/novo/,11427,0,0
1643794491429,11241,Novo,200,OK,Thread Group 1-13,text,true,,384114,252,30,30,https://cityfashion.mk/novo/,17,0,0
1643794491429,17,Novo-0,301,Moved Permanently,Thread Group 1-13,text,true,,358,128,30,30,http://www.cityfashion.mk/novo/,17,0,0
1643794491447,11223,Novo-1,200,OK,Thread Group 1-13,text,true,,383756,124,30,30,https://cityfashion.mk/novo/,11121,0,0
1643794492354,10482,Novo,200,OK,Thread Group 1-10,text,true,,384145,252,30,30,https://cityfashion.mk/novo/,29,0,0
1643794492354,29,Novo-0,301,Moved Permanently,Thread Group 1-10,text,true,,358,128,30,30,http://www.cityfashion.mk/novo/,29,0,0
1643794492383,10453,Novo-1,200,OK,Thread Group 1-10,text,true,,383787,124,30,30,https://cityfashion.mk/novo/,10321,0,0
1643794491868,11003,Novo,200,OK,Thread Group 1-1,text,true,,384019,252,30,30,https://cityfashion.mk/novo/,13,0,0
1643794491868,13,Novo-0,301,Moved Permanently,Thread Group 1-1,text,true,,358,128,30,30,http://www.cityfashion.mk/novo/,13,0,0
1643794491881,10990,Novo-1,200,OK,Thread Group 1-1,text,true,,383661,124,30,30,https://cityfashion.mk/novo/,10799,0,0
1643794492439,10528,Novo,200,OK,Thread Group 1-6,text,true,,384145,252,30,30,https://cityfashion.mk/novo/,17,0,0
